STUDYID,DOMAIN,USUBJID,SUBJID,RFSTDTC,RFENDTC,AGE,AGEU,SEX,SPECIES,STRAIN,ARMCD,ARM,SETCD
20214751,DM,20214751-151,151,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,1,Vehicle Control,1
20214751,DM,20214751-152,152,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,1,Vehicle Control,1
20214751,DM,20214751-153,153,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,1,Vehicle Control,1
20214751,DM,20214751-154,154,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,1,Vehicle Control,1
20214751,DM,20214751-155,155,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,1,Vehicle Control,1
20214751,DM,20214751-156,156,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,1,Vehicle Control,1
20214751,DM,20214751-251,251,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,2,ACT-709478 250 mg/kg/day,2
20214751,DM,20214751-252,252,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,2,ACT-709478 250 mg/kg/day,2
20214751,DM,20214751-253,253,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,2,ACT-709478 250 mg/kg/day,2
20214751,DM,20214751-254,254,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,2,ACT-709478 250 mg/kg/day,2
20214751,DM,20214751-255,255,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,2,ACT-709478 250 mg/kg/day,2
20214751,DM,20214751-256,256,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,2,ACT-709478 250 mg/kg/day,2
20214751,DM,20214751-351,351,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,3,ACT-709478 250mg/kg/day + NaI 3.5/10 mg/kg/day,3
20214751,DM,20214751-352,352,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,3,ACT-709478 250mg/kg/day + NaI 3.5/10 mg/kg/day,3
20214751,DM,20214751-353,353,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,3,ACT-709478 250mg/kg/day + NaI 3.5/10 mg/kg/day,3
20214751,DM,20214751-354,354,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,3,ACT-709478 250mg/kg/day + NaI 3.5/10 mg/kg/day,3
20214751,DM,20214751-355,355,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,3,ACT-709478 250mg/kg/day + NaI 3.5/10 mg/kg/day,3
20214751,DM,20214751-356,356,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,3,ACT-709478 250mg/kg/day + NaI 3.5/10 mg/kg/day,3
20214751,DM,20214751-451,451,2018-10-09,2018-11-09,6,WEEKS,F,RAT,WISTAR,4,ACT-709478 250mg/kg/day + NaI 35 mg/kg/day,4
20214751,DM,20214751-452,452,2018-10-09,2018-11-09,6,WEEKS,F,RAT,WISTAR,4,ACT-709478 250mg/kg/day + NaI 35 mg/kg/day,4
20214751,DM,20214751-453,453,2018-10-09,2018-11-09,6,WEEKS,F,RAT,WISTAR,4,ACT-709478 250mg/kg/day + NaI 35 mg/kg/day,4
20214751,DM,20214751-454,454,2018-10-09,2018-11-09,6,WEEKS,F,RAT,WISTAR,4,ACT-709478 250mg/kg/day + NaI 35 mg/kg/day,4
20214751,DM,20214751-455,455,2018-10-09,2018-11-09,6,WEEKS,F,RAT,WISTAR,4,ACT-709478 250mg/kg/day + NaI 35 mg/kg/day,4
20214751,DM,20214751-456,456,2018-10-09,2018-11-09,6,WEEKS,F,RAT,WISTAR,4,ACT-709478 250mg/kg/day + NaI 35 mg/kg/day,4
20214751,DM,20214751-551,551,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,5,NaI 35/10 mg/kg/day,5
20214751,DM,20214751-552,552,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,5,NaI 35/10 mg/kg/day,5
20214751,DM,20214751-553,553,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,5,NaI 35/10 mg/kg/day,5
20214751,DM,20214751-554,554,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,5,NaI 35/10 mg/kg/day,5
20214751,DM,20214751-555,555,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,5,NaI 35/10 mg/kg/day,5
20214751,DM,20214751-556,556,2018-10-09,2018-11-23,6,WEEKS,F,RAT,WISTAR,5,NaI 35/10 mg/kg/day,5
