STUDYID,DOMAIN,USUBJID,DSSEQ,DSTERM,DSDECOD,VISITDY,DSSTDTC,DSSTDY
20214751,DS,20214751-151,1,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-152,2,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-153,3,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-154,4,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-155,5,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-156,6,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-251,7,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-252,8,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-253,9,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-254,10,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-255,11,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-256,12,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-351,13,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-352,14,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-353,15,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-354,16,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-355,17,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-356,18,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-451,19,Day 32 sacrifice,TERMINAL SACRIFICE,32,2018-11-09,32
20214751,DS,20214751-452,20,Day 32 sacrifice,TERMINAL SACRIFICE,32,2018-11-09,32
20214751,DS,20214751-453,21,Day 32 sacrifice,TERMINAL SACRIFICE,32,2018-11-09,32
20214751,DS,20214751-454,22,Day 32 sacrifice,TERMINAL SACRIFICE,32,2018-11-09,32
20214751,DS,20214751-455,23,Day 32 sacrifice,TERMINAL SACRIFICE,32,2018-11-09,32
20214751,DS,20214751-456,24,Day 32 sacrifice,TERMINAL SACRIFICE,32,2018-11-09,32
20214751,DS,20214751-551,25,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-552,26,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-553,27,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-554,28,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-555,29,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
20214751,DS,20214751-556,30,Day 46 sacrifice,TERMINAL SACRIFICE,46,2018-11-23,46
